Topic,RubyGems,Maven,CPAN,PM,PyPI,Go,CRAN,Puppet,Nuget,npm,Julia,Meteor,Pub,Packagist,Bower,Elm,Conda
Manager level,79.18935903,79.46671674,77.99467613,80.90766823,81.78178178,30.69363474,78.18181818,71.93078824,90.49719326,76.89195621,43.76844867,22.15356204,65.01079914,90.49586777,81.74302446,31.32147395,82.54421518
Interface level,10.67239212,15.78255563,14.01952085,13.30203443,12.21221221,32.02379536,10,12.82614666,5.944266239,14.04773237,18.7930469,22.4767384,26.78185745,6.198347107,8.508439545,17.66200762,10.71296979
Package level,10.13824885,4.750727631,7.985803017,5.79029734,6.006006006,37.2825699,11.81818182,15.24306509,3.558540497,9.060311416,37.43850443,55.36969955,8.207343413,3.305785124,9.748535997,51.01651842,6.742815033
