Topic,Flat,Nested
Dependency,20.92319472,13.75668728
Build,14.69503339,5.77885083
Configuration,11.28896019,14.59737372
Error,11.71251648,11.89293407
Testing,7.312270979,4.09400403
Interface,5.422371308,8.868894602
Client-server,6.76474699,4.364969082
Services,6.415328241,4.93642743
Package usage,6.467589132,29.09747794
Package function,8.997988563,2.612381019
